X Ref,Name,Receipt Text,Ranking,Loyality Required,Start Date,End Date,Active,Qualifiers,,,,,
,,,,,,,,Retail Item Group,Minimum Identifier,Minimum Value,Discount Type,Discount Value,Reduces Tax
1164313,CV4-RAJRAL NC 2/$11.00,2/$11.00,0,n,2019-08-29,,y,401-RAJRAL NC 2/$11.00,Quantity,2,Set Retail,11,y
1164314,CV4-RHBARRNG NC 2/$11.00,2/$11.00,0,n,2019-08-29,,y,401-RHBARRNG NC 2/$11.00,Quantity,2,Set Retail,11,y
1164315,CV4-RHBUNTD NC 2/$11.00,2/$11.00,0,n,2019-08-29,,y,401-RHBUNTD NC 2/$11.00,Quantity,2,Set Retail,11,y
1164325,CV4-SKYLAND NC 2/$13.00,2/$13.00,0,n,2019-08-30,,y,401-SKYLAND NC 2/$13.00,Quantity,2,Set Retail,13,y
1164316,CV4-STANDARD NC 2/$11.00,2/$11.00,0,n,2019-08-29,,y,401-STANDARD NC 2/$11.00,Quantity,2,Set Retail,11,y
1164318,CV4-STANDARD NC 2/$22.00,2/$22.00,0,n,2019-08-30,,y,401-STANDARD NC 2/$22.00,Quantity,2,Set Retail,22,y
1164113,CV6 - TURNER TEA QT 2F$2.50,TURNER TEA QT 2F$2.50,50,n,2019-09-03,2020-01-01,y,CV6-TURNER TEA QUART,Quantity,2,Set Retail,2.5,y
1163886,CV6 ADRENALINE SHOC 2/$4,ADRENALINE SHOC 2/$4,50,n,2019-08-19,,y,CV6 ADRENALINE SHOC ALL,Quantity,2,Set Retail,4,y
1164190,CV6- DASANI 1L 2/$2.50,DASANI 1L 2/$2.50,6,n,2019-09-03,2019-09-30,y,CVE-DASANI 1L,Quantity,2,Set Retail,2.5,y
1164188,CV6- DASANI 20z 2/$2,DASANI 20z 2/$2,6,n,2019-09-03,2019-09-30,y,CVE-DASANI 20Z,Quantity,2,Set Retail,2,y
1164183,CV6- ENON SHARP 24z 3/$3.33,ENON SHARP 24z 3/$3.33,10,n,2019-09-03,2019-09-30,y,CVE- ENON SPRINGS 24Z SHARP,Quantity,3,Set Retail,3.33,y
1164285,CV6- GATORADE 20z 3/$4,GATORADE 20z 3/$4,10,n,2019-09-03,2019-10-30,y,CVE-GATORADE 20Z,Quantity,3,Set Retail,4,y
1163625,CV6- GATORADE BOLT 16.9z 2/$4,GATORADE BOLT 16.9z 2/$4,10,n,2019-08-01,,y,GATORADE BOLT 16.9z,Quantity,2,Set Retail,4,y
1164272,CV6- RED BULL 20z 2/$8.00 (2),RED BULL 20z 2/$8.00,10,n,2019-09-03,2019-09-30,y,CV6- RED BULL 20z,Quantity,2,Set Retail,8,y
1164284,CV6- RED BULL 4PK 8.4z $6.99 (2),RED BULL 4PK 8.4z $6.99,11,n,2019-09-03,2019-09-30,y,CV6- RED BULL 4PK 8.4z,Quantity,1,Set Retail,6.99,y
1164283,CV6- SMARTWATER 1L B2GF FRUIT,SMARTWATER 1L B2GF FRUIT,10,n,2019-09-03,2019-09-30,y,fd srv- FRESH FRUIT ALL,Quantity,1,Set Retail,0,y
1163833,CV6-F_4702 MILK WHL GAL 2/$7,MILK WHL GAL 2/$7,49,n,2019-08-13,,y,CV6- WHOLE MILK VETS,Quantity,2,Set Retail,7,y
1163835,CV6-F_4707 MILK WHL GAL 2/$6,MILK WHL GAL 2/$6,49,n,2019-08-13,,y,CV6- WHOLE MILK VETS,Quantity,2,Set Retail,6,y
1164166,CV6-LIPTON BRISK 1L 2/$2,LIPTON BRISK 1L 2/$2,11,n,2019-09-03,2020-01-01,y,CV6 LIPTON BRISK 1L,Quantity,2,Set Retail,2,y
1164271,CV6-NOS/FLLTHRT 16Z 3F5.50,NOS/FLLTHRT 16Z 3F5.50,9,n,2019-09-03,2019-09-30,y,CV-6 Nos/Full Throttle 16z,Quantity,3,Set Retail,5.5,y
1163330,CV6-PURE LEAF 18.5Z 3/$4,PURE LEAF 18.5Z 3/$4,100,n,2019-08-01,2019-08-01,y,CVE-LIPTON PURELEAF 18.5Z ALL,Quantity,3,Set Retail,4,y
1164281,CV9- COKE 20z 3/$4.75,COKE 20z 3/$4.75,10,n,2019-09-03,2019-09-30,y,CV9 COKE BRANDED 20z,Quantity,3,Set Retail,4.75,y
1164280,CV9- COKE 20z 3/$5.00,COKE 20z 3/$5.00,10,n,2019-09-03,2019-09-30,y,CV9 COKE BRANDED 20z,Quantity,3,Set Retail,5,y
1163901,CV9- FLA PEPSI 15PK 2/$8,PEPSI 15PK 2/$8,3,n,2019-08-19,2019-10-30,y,CV9- PEPSI FAMILY 15PK,Quantity,2,Set Retail,8,y
1163894,CV9- KICKSTART 16z 3/$4.50,KICKSTART 16z 3/$4.50,5,n,2019-09-03,2019-09-30,y,CVE-KICKSTART 12/16Z,Quantity,3,Set Retail,4.5,y
1164279,CV9- MT DEW 20z 3/$4.50,MT DEW 20z 3/$4.50,10,n,2019-09-03,2019-09-30,y,CV6- MTN DEW ALL 20z,Quantity,3,Set Retail,4.5,y
1163902,CV9- PEPSI 15PK 2/$8,PEPSI 15PK 2/$8,2,n,2019-09-03,2019-10-30,y,CV9- PEPSI FAMILY 15PK,Quantity,2,Set Retail,8,y
1164079,CV9-PEPSI 12PK 2/$7 PBV G&J,DRPEP&PEPSI 12PK 2/$7,6,n,2019-09-03,2019-09-30,y,CV9 - PEPSI & DR PEP 12PK 12z CN,Quantity,2,Set Retail,7,y
1163832,CVE- F_ VETS MILK GAL 2/$6.50,MILK GAL 2/$6.50,48,n,2019-08-13,,y,CVE- F_MILK GAL (EXCLUDE CHOC & WHOLE),Quantity,2,Set Retail,6.5,y
1163834,CVE- F_4707 MILK GAL 2/$5,MILK GAL 2/$5,44,n,2019-08-13,,y,CVE- F_MILK GAL (EXCLUDE CHOC & WHOLE),Quantity,2,Set Retail,5,y
1163836,CVE- F_4708 MILK GAL 2/$5.50,MILK GAL 2/$5.50,44,n,2019-08-13,,y,CVE- F_MILK GAL (EXCLUDE CHOC & WHOLE),Quantity,2,Set Retail,5.5,y
1163708,CVE- F_MILK GAL 2/$6,MILK GAL 2/$6,49,n,2019-08-08,,y,CVE- F_MILK GAL (EXCLUDE CHOC & WHOLE),Quantity,2,Set Retail,6,y
1163704,CVE- SA MILK GAL 2F$6,SA MILK GAL 2F$6,49,n,2019-08-08,,y,CVE- SA MILK GAL (EXCLUDE CHOC & WHOLE),Quantity,2,Set Retail,6,y
1164348,CVE- SW CORE HYDR 44z 2/$5,CORE HYDRATION 44z 2/$5,50,n,2019-09-03,,y,CVE- CORE HYDRATION 44z,Quantity,2,Set Retail,5,y
1164347,CVE- SW CORE POWER ELITE 2/$8,CORE POWER ELITE 2/$8,50,n,2019-09-03,,y,CV6 CORE POWER ELITE ,Quantity,2,Set Retail,8,y
1164350,CVE- SW DUNKIN SHOT 8.4z 2/$5,DUNKIN SHOT 8.4z 2/$5,50,n,2019-09-03,,y,CV6- DUNKIN SHOT IN THE DARK 8.4z,Quantity,2,Set Retail,5,y
1164346,CVE- SW FIJI 700ml 2/$3.50,FIJI 700ml 2/$3.50,50,n,2019-09-03,,y,CVE-FIJI 700ML,Quantity,2,Set Retail,3.5,y
1164349,CVE- SW PERRIER .5L 2/$2.50,PERRIER .5L 2/$2.50,50,n,2019-09-03,,y,CVE-PERRIER .5L,Quantity,2,Set Retail,2.5,y
1164331,CVE- SW SNAPPLE 16z 2/$3,SNAPPLE 16z 2/$3,50,n,2019-09-03,,y,CVE-SNPPLE GLASS 16Z,Quantity,2,Set Retail,3,y
1164345,CVE- SW SPARKLING ICE 2/$3,SPARKLING ICE 2/$3,50,n,2019-09-03,,y,CVE-SPARKLING ICE 17Z,Quantity,2,Set Retail,3,y
1164340,CVE-SW BODYARMO SUP 1L 2/$4,BODYARMOR SUPER 1L 2/$4,50,n,2019-09-03,,y,CV6 - BODYARMOR SUPER WATER 1L,Quantity,2,Set Retail,4,y
1164351,CVE-SW DUNKIN 13.7z 2/$6,DUNKIN 13.7z 2/$6,50,n,2019-09-03,,y,CVE-DUNKIN DONUTS ICED COFFEE 13.7Z,Quantity,2,Set Retail,6,y
1164056,FS2- $.99 OM SALAMI,$.99 OM SALAMI,200,n,2019-09-03,2020-01-01,y,fd srv- OM SALAMI PACKAGE,Quantity,1,Set Retail,0.99,y
