specialXRefID,specialName,specialReceiptText,priorityRanking,requiresLoyalty,startDate,endDate,status,retailItemGroupName,minimumIdentifier,minimumValue,discountType,discountValue,taxReduced
1156163,1005-Loy CamNew $2.40 OFF-14,Loy CamNew $2.40 OFF-14,8,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,14.0000,Price Discount,2.4000,y
1156164,1005-Loy CamNew $2.40 OFF-15,Loy CamNew $2.40 OFF-15,7,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,15.0000,Price Discount,2.4000,y
1156413,1005-Loy CamNew $2.40 OFF-4,Loy CamNew $2.40 OFF,18,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,4.0000,Price Discount,2.4000,y
1156414,1005-Loy CamNew $2.40 OFF-5,Loy CamNew $2.40 OFF,17,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,5.0000,Price Discount,2.4000,y
1156434,1005-Loy CamNew $2.50 OFF-6,Loy CamNew $2.50 OFF,16,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,6.0000,Price Discount,2.5000,y
1156435,1005-Loy CamNew $2.50 OFF-7,Loy CamNew $2.50 OFF,15,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,7.0000,Price Discount,2.5000,y
1156165,1005-Loy CamNew $2.60 OFF-16,1005-Loy CamNew $2.60 OFF-16,6,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,16.0000,Price Discount,2.6000,y
1156166,1005-Loy CamNew $2.60 OFF-17,Loy CamNew $2.60 OFF-17,5,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,17.0000,Price Discount,2.6000,y
1156176,1005-Loy CamNew $2.60 OFF-8,Loy CamNew $2.60 OFF-8,14,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,8.0000,Price Discount,2.6000,y
1156177,1005-Loy CamNew $2.60 OFF-9,Loy CamNew $2.60 OFF-9,13,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,9.0000,Price Discount,2.6000,y
1156167,1005-Loy CamNew $2.80 OFF-18,Loy CamNew $2.80 OFF-18,4,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,18.0000,Price Discount,2.8000,y
