,,Common Item Properties,,,,,,,,,Tracking,,,,,,,,,Unit of Measure Conversions,,,,,,,,,,Selling,,,,,,,,,,,,,      Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item Groups,,,,,,,,,
Item ExternalID,Purged in BC,Item Name*,Item Description*,SoldAs*,Category*,Base UOM Class*,Reported In UOM,Manufacturer,SKUNumber,Taxability*,,,,,,,,,,Conversion 1,,,,,Conversion 2,,,,,Base Properties,,,,,,Retail Packs,,,,,,,Attribute #1,,Attribute #2,,Attribute #3,,Attribute #4,,Attribute #5,,Attribute #6,,Attribute #7,,Attribute #8,,Attribute #9,,Attribute #10,,Attribute #11,,Attribute #12,,Attribute #13,,Attribute #14,,Attribute #15,,Attribute #16,,Attribute #17,,Attribute #18,,Attribute #19,,Attribute #20,,Attribute #21,,Attribute #22,,Attribute #23,,Attribute #24,,Attribute #25,,Attribute #26,,Attribute #27,,Attribute #28,,Attribute #29,,Attribute #30,,,,,,,,,,,
,,,,,,,,,,,Active*,Track*,Expense Upon Receiving,Allow Fractional Quantities,Set Variance to Zero,Waste Tolerence,Missing Tolerence,Default Adjustment UOM,Default Transfer UOM,From UOM,From Qty,To Class,To UOM,To Qty,From UOM,From Qty,To Class,To UOM,To Qty,Retail Strategry,Prompt for Qty at POS*,Auto Queue Shelf Label*,Requires Swipe at POS*,Credit Category,Shelf Label UOM,Pack Name*,Pack Qty*,Retail Level Group,External Id*,List Price*,Barcode Type*,Barcode Number*,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Item Group #1,Item Group #2,Item Group #3,Item Group #4,Item Group #5,Item Group #6,Item Group #7,Item Group #8,Item Group #9,Item Group #10
37003248,n,SMIRNOFF VODKA ORANGE TWST 375ML,,g,401 03 001 Liquor,Count,,DIAGEO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,375,,,,,,Alcohol,n,y,n,,,Each,1,Liquor,37003248-1,88.88,u,_820000038854,Brand-***,SMIRNOFF,Manufacturer-***,DIAGEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003250,n,OAK CREEK HEFEWEIZEN 6PK 12Z LN,,g,401 01 004 High End,Count,,OAK CREEK BREWERY,OAK CREEK HEFEWEIZEN 12Z LN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,37003250-6,88.88,u,_670492100726,Manufacturer-***,401 OAK CREEK,Product Size-***,12oz,Product Type-***,401 Hefeweizen,Product Type-***,401 Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003254,n,SMIRNOFF RASPBERRY TWST 375ML,,g,401 03 001 Liquor,Count,,DIAGEO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,375,,,,,,Alcohol,n,y,n,,,Each,1,Liquor,37003254-1,88.88,u,_820000011406,Brand-***,SMIRNOFF,Manufacturer-***,DIAGEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003260,n,OAK CREEK NUT BROWN 6PK 12Z LN,,g,401 01 004 High End,Count,,OAK CREEK BREWERY,OAK CREEK NUT BROWN 12Z LN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,37003260-6,88.88,u,_670492100412,Manufacturer-***,401 OAK CREEK,Product Size-***,12oz,Product Type-***,401 Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003270,n,SIERRA NEVADA HOP BULLET 6PK 12Z CN,,g,401 01 004 High End,Count,,SIERRA NEVADA,SIERRA NEVADA HOP BULLET 12Z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,37003270-6,88.88,u,_083783228519,Manufacturer-***,Sierra Nevada,Product Size-***,12oz,Product Type-***,401 Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003264,n,SMIRNOFF VODKA RASPBERRY TWST 750ML,,g,401 03 001 Liquor,Count,,DIAGEO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,750,,,,,,Alcohol,n,y,n,,,Each,1,Liquor,37003264-1,88.88,u,_820000039608,Brand-***,SMIRNOFF,Manufacturer-***,DIAGEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003288,n,SMIRNOFF VODKA VANILLA TWST 375ML,,g,401 03 001 Liquor,Count,,DIAGEO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,375,,,,,,Alcohol,n,y,n,,,Each,1,Liquor,37003288-1,88.88,u,_820000040352,Brand-***,SMIRNOFF,Manufacturer-***,DIAGEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003289,n,SMIRNOFF VODKA VANILLA TWST 50ML,,g,401 03 001 Liquor,Count,,DIAGEO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,50,,,,,,Alcohol,n,y,n,,,Each,1,Liquor,37003289-1,88.88,u,_820000724054,Brand-***,SMIRNOFF,Manufacturer-***,DIAGEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003290,n,STERLING VINTNERS COL CAB SAUV 750ML,,g,401 02 001 Wine,Count,,STERLING VINEYARDS,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,750,,,,,,Alcohol,n,y,n,,,Each,1,Wine,37003290-1,88.88,u,_886928602324,Brand-***,STERLING VINTNERS COLLECTION,Flavor Type-***,401 Cabernet Sauvignon,Manufacturer-***,STERLING VINEYARDS,Product Size-***,750ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003291,n,STRIKE GIN 750ML,,g,401 03 001 Liquor,Count,,STRIKE SPIRITS,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,750,,,,,,Alcohol,n,y,n,,,Each,1,Liquor,37003291-1,88.88,u,_853288007397,Brand-***,STRIKE SPIRITS,Manufacturer-***,STRIKE SPIRITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
