04-20-19T15:35:28: Start Log
04-20-19T15:35:28: Processing File: Chuck.xlsx
04-20-19T15:36:48: Item Rows: 440, External Id: 10193570
04-20-19T15:36:49: Item Rows: 450, External Id: 1063779
04-20-19T15:36:49: Item Rows: 460, External Id: 1064467
04-20-19T15:36:50: Item Rows: 470, External Id: 1066273
04-20-19T15:36:50: Item Rows: 480, External Id: 1066918
04-20-19T15:36:51: Item Rows: 490, External Id: 1068036
04-20-19T15:36:51: Item Rows: 500, External Id: 20000370
04-20-19T15:36:52: Item Rows: 510, External Id: 20000804
04-20-19T15:36:52: Item Rows: 520, External Id: 20001227
04-20-19T15:36:53: Item Rows: 530, External Id: 1070530
04-20-19T15:36:53: Item Rows: 540, External Id: 20002130
04-20-19T15:36:53: Item Rows: 550, External Id: 20006410
04-20-19T15:36:54: Item Rows: 560, External Id: 20005439
04-20-19T15:36:54: Item Rows: 570, External Id: 20005445
04-20-19T15:36:55: Item Rows: 580, External Id: 20006024
04-20-19T15:36:55: Item Rows: 590, External Id: 20003435
04-20-19T15:36:56: Item Rows: 600, External Id: 20003880
04-20-19T15:36:56: Item Rows: 610, External Id: 20004242
04-20-19T15:36:57: Item Rows: 620, External Id: 1075561
04-20-19T15:36:57: Item Rows: 630, External Id: 1077023
04-20-19T15:36:58: Item Rows: 640, External Id: 1078958
04-20-19T15:36:58: Item Rows: 650, External Id: 1080721
04-20-19T15:36:59: Item Rows: 660, External Id: 1081538
04-20-19T15:36:59: Item Rows: 670, External Id: 1082355
04-20-19T15:37:00: Item Rows: 680, External Id: 1084247
04-20-19T15:37:00: Item Rows: 690, External Id: 1085365
04-20-19T15:37:00: Item Rows: 700, External Id: 1086354
04-20-19T15:37:01: Item Rows: 710, External Id: 1087773
04-20-19T15:37:01: Item Rows: 720, External Id: 1089106
04-20-19T15:37:02: Item Rows: 730, External Id: 32006439
04-20-19T15:37:02: Item Rows: 740, External Id: 32005469
04-20-19T15:37:03: Item Rows: 750, External Id: 1090740
04-20-19T15:37:03: Item Rows: 760, External Id: 35001813
04-20-19T15:37:04: Item Rows: 770, External Id: 35002407
04-20-19T15:37:04: Item Rows: 780, External Id: 35001482
04-20-19T15:37:05: Item Rows: 790, External Id: 35001212
04-20-19T15:37:05: Item Rows: 800, External Id: 35000429
04-20-19T15:37:06: Item Rows: 810, External Id: 34800199
04-20-19T15:37:06: Item Rows: 820, External Id: 33000631
